dpt,url
MGT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGT
COL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=COL
NMD,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NMD
GR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GR
MGM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGM
UBC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=UBC
MGO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGO
MAE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MAE
SOC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=SOC
MTR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MTR
IE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=IE
CSE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CSE
CIE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CIE
EAS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=EAS
FR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=FR
BE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BE
OT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=OT
LIS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LIS
ART,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ART
LIN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LIN
GRE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GRE
LAT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LAT
MLS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MLS
AHI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=AHI
PT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PT
CHE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CHE
ULC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ULC
OPR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=OPR
PMY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PMY
PSC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PSC
COM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=COM
HMN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=HMN
NRS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NRS
RSP,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=RSP
